name,postcode,lat,lon
Old World warbler and Lemming,CF81 8RP,51.692023000000000,-3.231150675285850
Kite and Guillemot,CF82 7AB,51.643347474862800,-3.233875020045590
Guillemot and Macaw,NP11 6JG,51.605950758275300,-3.072847445191790
Kākāriki and Condor,CF46 6AU,51.672605522450000,-3.296551547286090
Peafowl and Towhee,CF48 4SB,51.690862000000000,-3.338016000000000
Chicken and River dolphin,NP4 6DH,51.705309087459300,-3.042750901278550
Badger and Marmoset,CF81 9FW,51.683715000000000,-3.217281000000000
Meadowlark and Goose,NP23 6TN,51.754609455271900,-3.193891595254010
Tattler and Myna,NP12 0HN,51.678710774634100,-3.178833418572100
Chipmunk and Skunk,NP4 8NQ,51.713338215839000,-3.053967000000000
Viscacha and Jay,CF37 1LH,51.596281833060000,-3.346972116956270
Kākāriki and Petrel,NP13 1SJ,51.738404856866900,-3.143456151772710
Parrotlet and Mouse,NP13 1NL,51.735230979334600,-3.138814353411810
Marsh harrier and Stilt,NP23 5TG,51.800151536593000,-3.217544147501530
Meadowlark and Treepie,NP11 6LH,51.605489481203700,-3.089731486694730
Parrotlet and Parrotbill,CF83 2AN,51.588500066659300,-3.248107753476420
B and Mouse,NP13 2AL,51.704410130208100,-3.146911227824290
B and Moluccan boobook,CF83 4AU,51.595884350901400,-3.270543593110210
Old World quail and Kangaroo,NP11 4LY,51.665061466774600,-3.152568269421830
Meadowlark and Magpie,CF83 8TL,51.595819814308800,-3.163172418608420
Argus and Cloud rat,CF82 7NW,51.647370409438800,-3.231816227428880
Boto and Rat,NP22 5JZ,51.753145722722700,-3.276677088092150
Mink and Maya,NP23 5TS,51.801917743933000,-3.216300977580780
Mamo and Ground sloth,NP4 7RH,51.733755161935700,-3.074018310440860
B and Puffleg,NP44 4RZ,51.650244997409300,-3.043755902546220
White ibis and Mole,NP12 0SU,51.723155000000000,-3.217293000000000
American sparrow and Pitohui,CF83 8PW,51.597516647277300,-3.139610223146170
Mockingbird and Perching duck,NP11 7EP,51.635612134837000,-3.126808916496250
New World blackbird and Grosbeak,NP23 5DQ,51.798378309896800,-3.208142707633300
Chipmunk and Macaw,CF37 1TU,51.585754857102700,-3.324634194444720
Kākāriki and Philippine hawk-owl,NP11 4FB,51.664183711738400,-3.143942985704980
Tattler and Fish eagle,CF82 7LR,51.659917557737100,-3.238300986406880
Puffleg and Duck,NP12 1EJ,51.663743300574200,-3.197139969481660
Pitohui and Flameback,NP11 4QX,51.668395404497100,-3.143571914296870
Piping shrike and Siskin,NP4 5RZ,51.696362803716100,-3.036627404900800
Fish eagle and Badger,CF83 2UY,51.592161660529600,-3.233468918578970
Fox and Treepie,NP24 6DH,51.720621576769400,-3.241580476096580
Darwin's finches and Buzzard,NP23 4NQ,51.777247990032300,-3.166339877843070
Buzzard and Stint,NP11 6PA,51.609157209984300,-3.086916633565300
Capuchin and Cloud rat,NP12 0PP,51.716169810511400,-3.221945535594550
Old World warbler and Vulture,NP12 2NQ,51.653585864811800,-3.182633591802440
River dolphin and Piping shrike,CF81 9HG,51.705118850900200,-3.269448705734770
Quetzal and Kākāriki,NP22 3LD,51.768035853144700,-3.238011973072610
Songlark and Wallaby,NP13 2QE,51.721650535589200,-3.125154062212090
Booted eagles and Parakeet,NP23 4YG,51.799992000000000,-3.174105000000000
