name,postcode,lat,lon
Puffleg and Marmoset,PL15 8BL,50.639717279846700,-4.363199045360330
Crow and Tree warbler,PL19 0LG,50.580369329687700,-4.168848393813950
Mole and Coati,PL16 0HE,50.624717893305800,-4.235504494484110
Night heron and Gull,PL15 7BT,50.632903423422200,-4.367439133303980
Hawk and Condor,PL20 7BG,50.479327964889500,-4.190478472110860
Zebra and Bronzewing pigeon,PL18 9PH,50.519353000000000,-4.249467000000000
Jay and Buzzard,PL5 4LG,50.435015000000000,-4.171716000000000
Stint and Darwin's finches,PL14 5PS,50.502810538080000,-4.410708183069990
Rat and Black jay,PL15 9TD,50.636605979722000,-4.360058767147970
Condor and Mouse,PL15 8RR,50.645681362427900,-4.366256792886900
Mole and Elephant,PL15 9DL,50.632779105561700,-4.358495271091430
Philippine hawk-owl and White ibis,PL17 7RA,50.497730630822200,-4.319918569243070
Prion and Grosbeak,PL19 1EZ,50.544311000000000,-4.147065000000000
Peafowl and Towhee,PL17 7BJ,50.503182987697400,-4.311244601095130
Mink and Vulture,PL15 7LW,50.567971160465500,-4.408314184439860
Chipmunk and Pratincole,PL15 8LQ,50.645694013848400,-4.364305324818640
Chipmunk and Kangaroo,PL18 9BL,50.518170929658400,-4.215356109809990
Petrel and Old World vulture,EX20 4NX,50.651532217805000,-4.182240398357390
Civet and Mockingbird,PL15 9ST,50.673917874903200,-4.325441098280280
Prion and Mouse,PL19 9JZ,50.546096297420800,-4.084474148229070
Partridge and Egret,PL19 9DA,50.539434481728600,-4.142270951997880
Duck and Treepie,PL19 8PD,50.545520795613800,-4.232856641189450
Diving bird and Parrotlet,PL20 6PR,50.492259708637400,-4.070245555432640
Maya and Egret,PL17 7GB,50.504694999508300,-4.315042000000000
Dolphin and Triller,PL15 8DF,50.642115000000000,-4.364338000000000
Kite and Eagle,PL15 9SH,50.686896486133300,-4.321382539923920
Old World vulture and Ibex,PL18 9EU,50.517594558308800,-4.224823148678790
Coati and Siskin,PL15 8BU,50.639587088204100,-4.364295731747860
