name,postcode,lat,lon
Treepie and Ice seal,NW10 0HA,51.563868733766800,-0.253641329690260
Bronzewing pigeon and Boto,TW13 4SL,51.439834043548600,-0.425513823514094
Meadowlark and Wallaby,UB5 4TA,51.552804496423900,-0.356087832419236
Condor and Zebra,KT2 7UN,51.418332359620600,-0.285095546329082
Treepie and Piping shrike,SW15 3PZ,51.434212000000000,-0.259281000000000
Kākāriki and Skunk,TW1 4QS,51.444487290610700,-0.331545640095874
Scimitar babbler and Rabbit,TW14 0JP,51.457198051259400,-0.405542265214639
Moluccan boobook and Jerboa,UB1 2AP,51.515515247419900,-0.379467107214888
Grouse and Tattler,UB6 7EQ,51.541068418236300,-0.309802780170061
Guillemot and Capuchin,HA9 6DR,51.549473219652100,-0.283079000000000
Perching duck and Fox,TW4 7RB,51.474594023766600,-0.388794087703918
Shearwater and Asiatic leopard,UB18 9YS,51.500717740213000,-0.402684069553087
Mole and Civet,KT2 7JA,51.427361223091100,-0.269826188390644
Viscacha and Solitaire,TW14 9PX,51.457659645755000,-0.431766520621526
Grosbeak and Elephant,UB10 8FA,51.558612557644600,-0.452416830389759
Fulmarine petrel and Meadowlark,UB3 5LG,51.483479657610300,-0.435374464875118
Shearwater and Rabbit,TW3 3PT,51.466227118274400,-0.367507000000000
Francolin and Pheasant,W5 5BT,51.512472000000000,-0.307697000000000
Eagle and Guillemot,W4 1HL,51.500484915783800,-0.255071106591647
Asiatic leopard and Wader,W3 8BQ,51.500015000000000,-0.274171000000000
Tahr and Civet,HA9 7EG,51.552348066700300,-0.293878824601691
Wader and Bunting,UB1 2JX,51.516399757269100,-0.370615187955371
Polecat and Darwin's finches,HA9 9RH,51.567811156437600,-0.285609368924691
Meadowlark and Moluccan boobook,TW1 1EB,51.454944747582200,-0.327710003624182
Partridge and Armadillo,TW12 2LY,51.422110701423400,-0.369641292146980
Ibex and Puffleg,TW15 1QL,51.425164346858000,-0.438718930422983
Gull and Coati,UB4 8AU,51.530813957912400,-0.420560657241451
Herring gull and Crow,UB7 0LF,51.489552703568300,-0.472458634114409
Jay and Greenbul,UB3 3JL,51.509822035582300,-0.413591473649795
Hawaiian honeycreeper and Diving bird,TW13 5HF,51.445809204568200,-0.390728366156274
Fox and Treepie,TW7 5GB,51.474792730242300,-0.334155280252104
