name,postcode,lat,lon
Marsh harrier and Duck,BL1 8PH,53.599572150000000,-2.432366539000000
Petrel and Philippine hawk-owl,WA3 3LR,53.476692523109200,-2.589681099649140
Lemming and Nukupuʻu,WN7 4AU,53.497339206129800,-2.522072640209860
Quetzal and Linsang,BL6 5RD,53.596330560000000,-2.553693360000000
Macaw and Warbler,M46 9PQ,53.532093205992100,-2.497848564564200
Minke whale and Piping shrike,WN1 9JG,53.546965930396300,-2.635088890409610
Chickadee and Goose,BL9 9PY,53.577369580000000,-2.300912313000000
Solitaire and Wallaby,M29 7SJ,53.507390146614200,-2.458084966792510
Wader and Triller,BL1 5RU,53.591784460000000,-2.462215742000000
Perching duck and Bronzewing pigeon,WN1 3JD,53.545783903861300,-2.615331317146870
Jerboa and Ibex,BL5 3UA,53.550145040000000,-2.507810661000000
Capuchin and Black cockatoo,BL2 2NB,53.590656270000000,-2.403933829000000
River dolphin and Parakeet,M45 7RP,53.555262675923300,-2.306249817090820
Condor and Cloud rat,M29 7TX,53.504459740785600,-2.455776752513850
Guillemot and Jay,BL5 3SS,53.554300260000000,-2.525928663000000
Bunting and Chipmunk,M30 8LY,53.486042843083600,-2.366875512528990
White ibis and Mole,BL6 5UD,53.593845440000000,-2.542873238000000
Solitaire and Eagle,WN6 8PN,53.559224375524500,-2.657056718755080
Linsang and Civet,WN2 4NZ,53.526377969035800,-2.568076087318240
Pitohui and Kestrel,PR6 0BF,53.660400052800000,-2.624052270300000
Rabbit and Fish eagle,WN7 5PP,53.520330434783200,-2.530545206345160
Petrel and Black cockatoo,M29 8HT,53.512781561667300,-2.470086340853370
Triller and Kestrel,M28 1PB,53.511229129556600,-2.413476787287060
Zebra and Grackle,M27 9RE,53.521326671104700,-2.353575837336670
Scimitar babbler and Dorcopsis,BL2 4ND,53.611365870000000,-2.395712600000000
Shearwater and Dorcopsis,BL8 4AT,53.617896000000000,-2.338933000000000
Logrunners and Ibex,BL3 2PQ,53.561854690000000,-2.410060438000000
Darwin's finches and White ibis,BL1 3NW,53.591065820000000,-2.435769513000000
Skunk and Mamo,WN1 2LW,53.554453208183600,-2.626597050648450
Rat and Mouse,WA3 3RN,53.478955509546600,-2.602716083755030
Warbler and Mockingbird,M7 3QB,53.513283390741800,-2.282120585528300
Kestrel and Nukupuʻu,BL2 5RN,53.587686960000000,-2.353873091000000
Tree warbler and Wader,BL1 6PL,53.600424050000000,-2.445159133000000
Polecat and Kite,BL4 0RF,53.544371810000000,-2.425616160000000
Vulture and Mamo,M38 9UL,53.533743379072000,-2.421707530362860
Badger and Moluccan boobook,BL4 0JW,53.551198000000000,-2.451691000000000
Buzzard and Civet,WN1 3PG,53.550866294196100,-2.619797267623180
Mole and Parrotbill,BL1 3AB,53.583083110000000,-2.440958928000000
Viscacha and Perching duck,WA11 0RW,53.467364449268000,-2.648255413092540
Hawaiian honeycreeper and Kangaroo,M27 5AR,53.506056972557200,-2.340632913325720
Triller and Eagle,M25 9LJ,53.526692821129900,-2.286433468081200
Tit-tyrant and Fish eagle,WN2 5DD,53.519319011492600,-2.599955883839480
Lemming and Civet,M27 0DA,53.496928810803200,-2.351624090949180
American sparrow and Ice seal,BL1 8DE,53.594225600000000,-2.444339000000000
Lemming and Maya,WA11 0SH,53.465285250880400,-2.674734793759320
Tit-tyrant and Old World quail,WN5 9LB,53.536599268934600,-2.666981444537630
Badger and Jay,M25 9PW,53.525494887786700,-2.279893910624600
Night heron and Cloud rat,BL2 2PA,53.590433990000000,-2.408509249000000
Nukupuʻu and Francolin,BL5 2JT,53.535317770000000,-2.519507274000000
Greenbul and Guillemot,BL4 7PE,53.550513090000000,-2.396215933000000
Crow and Bunting,BL6 4LU,53.584847240000000,-2.520824707000000
