name,postcode,lat,lon
Goose and Jackal,TD14 5AD,55.871697542153900,-2.092757845649290
Viscacha and Masked owl,TD11 3EQ,55.779887188890900,-2.342461314489130
Mink and Warbler,TD5 7TL,55.655235234845500,-2.472547457140120
Black jay and Vole,TD3 6LA,55.689495255758300,-2.570053342824940
Cuscus and Booted eagles,TD4 6ES,55.639454100973800,-2.674874046998380
Rabbit and Magpie,TD12 4JR,55.699978977229400,-2.313520644090020
Polecat and Wader,TD15 1TF,55.770885873147800,-2.104599619666630
Fulmarine petrel and Coati,TD15 1XJ,55.738581454709800,-2.164761489325190
Badger and Rabbit,TD11 3DZ,55.782551571172300,-2.337478242743270
Peafowl and Tattler,TD11 3LY,55.772319856927300,-2.211926652346620
Argus and Macaw,TD15 1TT,55.782946389758300,-2.172427000000000
Mamo and Buzzard,TD5 7QR,55.666822000000000,-2.375015000000000
Perching duck and Kākāriki,TD14 5QB,55.889914405075100,-2.158800000000000
Solitaire and Vulture,TD11 3JH,55.719607923373200,-2.265540591764970
Ibex and Mockingbird,TD11 3FA,55.775177000000000,-2.338999000000000
Snipe and Fish eagle,TD3 6JQ,55.682490614802200,-2.561411186634720
Snipe and Darwin's finches,TD14 5LZ,55.862482883999400,-2.087543380543310
Old World vulture and Guillemot,TD5 7QY,55.656883120070900,-2.432612068509850
Towhee and Masked owl,TD4 6DX,55.639272925370800,-2.678397665154110
Herring gull and Kestrel,TD11 3HY,55.718295517065000,-2.289631399363330
Tattler and Bunting,TD12 4ES,55.662365979089400,-2.251530366779280
Egret and Nukupuʻu,TD14 5EG,55.872596645178000,-2.103243472424980
Egret and Pitohui,TD12 4SF,55.640744638893800,-2.199363612515700
New World blackbird and Parrotbill,TD12 4LU,55.666216719738700,-2.308354246113150
Rabbit and Herring gull,TD14 5SS,55.838122164911000,-2.062484523456500
Stilt and Hawaiian honeycreeper,TD14 5AL,55.870823716686400,-2.095744051144060
Marsh harrier and Bronzewing pigeon,EH41 4LJ,55.929938000000000,-2.695029000000000
Scimitar babbler and Night heron,TD15 2LF,55.719254156530500,-2.165030193177520
Bronzewing pigeon and Vulture,TD15 2QG,55.632008924978100,-2.085073732660380
Solitaire and Ice seal,TD12 4EL,55.657114055415900,-2.259920258038490
Wallaby and Maya,TD11 3EU,55.775781013637100,-2.335953086276210
Mamo and Nukupuʻu,TD11 3BS,55.771010467096100,-2.342271854319860
Stilt and Eagle,TD12 4US,55.647632080846000,-2.227792000000000
Parakeet and Philippine hawk-owl,TD1 2PP,55.681068274733800,-2.718704128527710
Pitohui and Black cockatoo,EH42 1QU,55.968609000000000,-2.409443000000000
Kākāriki and Hawk,TD14 5SY,55.843039984341300,-2.073175557572500
Mink and Coati,TD14 5RW,55.830287400344100,-2.130811907982260
Capuchin and B,TD11 3AR,55.777866551246200,-2.345313181528830
Vole and Rabbit,TD15 2JZ,55.717753000000000,-2.165804000000000
Vole and Mamo,TD11 3BF,55.777415000000000,-2.336429000000000
Goose and Triller,EH42 1RL,55.966900130671900,-2.517351765876170
Eagle and Tattler,TD15 1UY,55.775253000000000,-2.081401000000000
Pheasant and Linsang,TD13 5YB,55.930705530412300,-2.365413956637890
Eagle and Kestrel,TD12 4JF,55.695053000000000,-2.347748000000000
Macaw and Puffleg,TD14 5NY,55.889564142681300,-2.151348220637240
Cuscus and Marmoset,TD12 4AF,55.653439334500300,-2.248692000000000
Grosbeak and Diving bird,TD11 3NQ,55.747773000000000,-2.241120000000000
Ice seal and Tattler,TD11 3JU,55.798078777334000,-2.241734470475110
Guillemot and Mink,TD11 3DJ,55.776661000000000,-2.339516000000000
Diving bird and Old World warbler,TD4 6AF,55.648913999850600,-2.680073950519300
Viscacha and Pratincole,TD14 5LW,55.860895121320300,-2.266616233666990
Grackle and Tattler,TD14 5TY,55.926842385498000,-2.231974071485820
Scimitar babbler and Eagle,TD12 4QA,55.646632679544500,-2.223814655424710
Myna and Parakeet,TD11 3PG,55.799852420114200,-2.514926251487530
Night heron and Marsh harrier,TD14 5JQ,55.872783164564600,-2.105784945749840
Polecat and Quetzal,TD12 4AR,55.650344290610200,-2.255616489307450
Hawaiian honeycreeper and Parrotlet,TD12 4FA,55.655709986256100,-2.261039314495860
Mamo and Hawaiian honeycreeper,TD14 5PR,55.897917781760300,-2.129760521116950
American sparrow and Kangaroo,TD11 3SF,55.826682000000000,-2.438534000000000
Piping shrike and Masked owl,TD12 4WB,55.647622809943400,-2.222851066767570
Kestrel and Triller,EH41 4PZ,55.963417774724100,-2.649091000000000
Recurvebill and Black jay,TD13 5XA,55.933272110910700,-2.360364231666900
Petrel and Chipmunk,TD4 6JG,55.640780949618800,-2.665302000000000
Lemming and Logrunners,TD11 3TL,55.811802546990800,-2.348677366848920
Ibex and Songlark,TD15 2GA,55.742328000000000,-2.072938000000000
Old World quail and Tree warbler,TD13 5YP,55.931500334614300,-2.345302840198150
Minke whale and Hawaiian honeycreeper,TD10 6XH,55.706512361852000,-2.465957706899320
Vole and Lemming,TD2 6QP,55.716890799280800,-2.729740355958040
Marsh harrier and Maya,TD4 6AE,55.634841858430300,-2.675366573441970
Ice seal and Nukupuʻu,TD14 5PJ,55.897433191711100,-2.129199211104050
Tahr and Perching duck,TD4 6BW,55.634943020821000,-2.676575531434560
B and Hawk,TD12 4NU,55.650903105513800,-2.250423922661080
Quetzal and Vulture,TD11 3JJ,55.720303373252300,-2.263873848870720
Hawk and Badger,TD5 7QS,55.665398502660500,-2.376178053080390
Elephant and Vole,TD11 3RL,55.866597469718700,-2.287906746894530
Herring gull and Zebra,TD11 3XG,55.797647509267300,-2.212574752995100
Ibex and Grackle,TD14 5NF,55.888408838055400,-2.155548408487860
Perching duck and Tahr,TD15 2LP,55.726046681439000,-2.086361322465330
Zebra and Towhee,TD14 5AG,55.870816784080100,-2.093075344064010
Elephant and Argus,TD4 6HA,55.640565919665400,-2.672033561565910
Capuchin and Capuchin,TD11 3HF,55.775661092038400,-2.333799976267100
Gull and Old World vulture,TD14 5LU,55.838001093777100,-2.195072028670590
Coati and Argus,TD11 3EA,55.780618199976100,-2.341303866207380
Linsang and Snipe,TD12 4FE,55.654922000000000,-2.261787000000000
Pratincole and Tit-tyrant,TD13 5YR,55.919123542068200,-2.313464461414350
Flameback and Jackal,TD5 7TF,55.641447000000000,-2.459624000000000
Marsh harrier and Masked owl,TD3 6NR,55.741507000000000,-2.582439000000000
Chipmunk and Grouse,TD12 4RE,55.640913000000000,-2.278940000000000
Ice seal and Grosbeak,TD4 6EQ,55.639147410184200,-2.681588609932450
Skunk and Warbler,TD11 3QW,55.756263000000000,-2.385975000000000
White ibis and Warbler,TD12 4NS,55.654806490033800,-2.248557698657530
Bunting and Nukupuʻu,TD12 4EX,55.661092110926800,-2.236978561333710
Perching duck and Magpie,EH42 1SH,55.944381713660000,-2.504915281672220
Kestrel and Parrotlet,TD11 3EL,55.772603270625000,-2.341393177733100
White ibis and Night heron,TD11 3AG,55.775804000000000,-2.350332000000000
Treepie and American sparrow,TD12 4RA,55.645853000000000,-2.227719000000000
Bunting and Stint,TD14 5DZ,55.871073198330500,-2.086460121445650
Hawk and Chicken,TD4 6BX,55.638053528313100,-2.676421000000000
Boto and Badger,TD14 5EN,55.871941803457800,-2.090521139756270
Mockingbird and Macaw,TD3 6JL,55.679154683660400,-2.567787884267330
Mockingbird and Kestrel,TD12 4EE,55.654847437311800,-2.251403000000000
Buzzard and Eagle,TD12 4AN,55.651386675940300,-2.251221549321340
Shearwater and Stint,TD11 3JZ,55.781928000000000,-2.215455000000000
Linsang and Parrotbill,TD3 6NS,55.741491180693200,-2.583824239699490
Masked owl and Peafowl,TD3 6LX,55.717654093217800,-2.591172734570750
Herring gull and Fox,TD4 6HL,55.639264424105900,-2.670136702880640
Mink and Siskin,TD14 5AB,55.872352854785900,-2.093526490923990
White ibis and Wallaby,TD14 5RU,55.842519603642200,-2.122006721455800
Vulture and Boto,TD10 6XL,55.708300757947600,-2.461109325833470
Dolphin and Elephant,TD14 5TQ,55.853612379750100,-2.130698726962790
Philippine hawk-owl and Rabbit,TD14 5NN,55.887375564322500,-2.155560256043240
Philippine hawk-owl and Jackal,TD11 3NB,55.749176281882900,-2.216118000000000
Songlark and Civet,TD12 4SA,55.647976079745000,-2.221280029110390
Grouse and Old World quail,EH41 4LL,55.932506098173300,-2.660161662616580
Peafowl and Parrotbill,TD1 2PR,55.685078098044800,-2.722897038265340
Black cockatoo and Wader,TD12 4JQ,55.690656277161900,-2.335810810382270
Condor and Shearwater,TD11 3SG,55.835843329436500,-2.431755960707680
Chickadee and Myna,TD12 4AH,55.651925228556900,-2.251495147315630
Armadillo and Old World warbler,TD3 6JR,55.679459489157200,-2.562083357344910
Black jay and Songlark,TD11 3FR,55.775315960167400,-2.338435906499020
Herring gull and Grosbeak,TD3 6LG,55.644926486318900,-2.560635166537200
Petrel and Towhee,TD12 4NJ,55.650609684099400,-2.261847270715420
Stilt and Coati,TD14 5UB,55.891605000000000,-2.171374000000000
American sparrow and Kangaroo,TD11 3NS,55.777676000000000,-2.396550000000000
Perching duck and Elephant,TD11 3AQ,55.775529885613600,-2.348687996846480
Zebra and Jay,TD14 5NL,55.886233000000000,-2.157298000000000
Hawaiian honeycreeper and Capuchin,TD13 5YF,55.932738876130200,-2.361431665159880
Duck and Viscacha,TD11 3QA,55.816621926089400,-2.276701836317580
Old World vulture and Chipmunk,TD11 3DE,55.777424000000000,-2.342998000000000
Argus and Hawaiian honeycreeper,TD10 6YS,55.751579000000000,-2.414367000000000
Rabbit and Ground sloth,TD1 2PS,55.687949615440700,-2.731125707189580
Mink and Vulture,TD4 6FD,55.640359535076700,-2.665389419754690
Grosbeak and Scimitar babbler,TD11 3SL,55.860365322294700,-2.504447601765520
Thrasher and Chipmunk,TD11 3SH,55.842162000000000,-2.484299000000000
Songlark and Armadillo,TD12 4TL,55.648246358029800,-2.116427101125660
Goose and Argus,TD11 3BA,55.777682251601200,-2.333976686322630
Tit-tyrant and Petrel,TD14 5LP,55.839974998414000,-2.255423354287750
Rat and Diving bird,TD14 5QJ,55.841716044544200,-2.122275405844940
Vulture and Polecat,TD11 3BX,55.777538894679400,-2.343604478730130
Wader and Parakeet,TD11 3SB,55.799180000000000,-2.215327000000000
Shearwater and Maya,TD12 4LY,55.674415000000000,-2.353829000000000
Egret and Kite,TD14 5EY,55.872776803411000,-2.091322136879590
Ground sloth and Maya,TD14 5JX,55.851763836494300,-2.201977233632040
Siskin and Argus,TD2 6SA,55.685816567983200,-2.714942208107030
