name,id,postcode,lat,lon
horned toad and Old World vulture,1015769,IP21 4YD,52.437118405103300,1.243660772889480
Argus and Duck,662324,NR14 7HN,52.561197083204600,1.431014643375540
hognose snake and Piping shrike,661749,NR15 1LD,52.546554821541100,1.380903000000000
Gull and Hawk,2285599,NR15 2EA,52.490688000000000,1.231627000000000
Towhee and Gull,647889,NR35 2PX,52.478354372066500,1.488711107432070
boa constrictor and Stilt,662585,NR14 6QJ,52.515072249641700,1.504713485898030
box turtle and bandy-bandy,662188,NR14 8DD,52.580040409057200,1.268678509903000
Night heron and Eagle,662254,NR14 7BB,52.566778941165100,1.444439560243110
horned viper and blind snake,1016454,IP20 0DL,52.438389660141100,1.330507622803690
Elephant and thorny devil,661879,NR14 8LJ,52.566752757719400,1.299599541417620
Zebra and Quetzal,662044,NR14 7QZ,52.573536096201400,1.345000139603580
king cobra and tuatara,648753,NR34 7AP,52.449622553097100,1.586173882106740
snapping turtle and Logrunners,661952,NR14 8QD,52.566455180814100,1.290264004821850
Chipmunk and sand lizard,647391,NR4 6TZ,52.595633138755800,1.255056097702330
Tahr and Cuscus,1016179,IP20 9EJ,52.399698985665100,1.297448299789380
galliwasp and black snake,661905,NR14 8NS,52.554892578083000,1.229447072220350
smooth snake and rat snake,662233,NR14 7AA,52.577659295994800,1.455317776854680
Herring gull and bicycle lizard,661907,NR14 8NU,52.554623852272100,1.228748585893230
black snake and wall lizard,647794,NR35 2HF,52.481736741618400,1.492043166897040
Ice seal and milk snake,648154,NR34 9NZ,52.449224364696000,1.557994588272680
Piping shrike and puff adder,1016464,IP20 0EN,52.418425955797300,1.349492725247670
Triller and water snake,648457,NR34 9BL,52.462191000000000,1.569791000000000
smooth snake and slowworm,661067,NR16 1AQ,52.538529410083600,1.189822192769450
Meadowlark and horned toad,661226,NR15 2JX,52.482291845758300,1.179179384111260
Civet and Condor,662411,NR14 7NG,52.562773732939900,1.386920991513450
Night heron and Grosbeak,1016174,IP20 9ED,52.400168872601100,1.301232815726580
death adder and sand viper,647942,NR35 1DF,52.453892788969400,1.436749142775930
boomslang and Black cockatoo,661325,NR15 2RQ,52.485473024157400,1.227066534761840
Mole and Marsh harrier,648261,NR34 9UD,52.453968717136400,1.565311805408760
Schneider python and anole,663133,NR13 3SS,52.582121651534200,1.512383070534630
rock python and Bunting,647827,NR35 1AY,52.454708119741300,1.438402713162120
frilled lizard and Mouse,662433,NR14 6ER,52.528149786205400,1.479136680317810
bearded lizard and Jerboa,662166,NR14 8AZ,52.556134278140500,1.230084288528720
Ice seal and Puffleg,662136,NR14 6TB,52.518901870414400,1.497793889243660
Tree warbler and Minke whale,661915,NR14 8PE,52.573630855069000,1.289340221671120
anole and constrictor,648627,NR34 0ET,52.505585000000000,1.574371000000000
saltwater crocodile and B,1016610,IP20 0PQ,52.401567000000000,1.412811000000000
Chicken and dugite,648013,NR35 1JZ,52.452299056586900,1.453466570405470
king snake and cayman,662253,NR14 7BA,52.568493717814300,1.444854507100610
Philippine hawk-owl and Night heron,648296,NR34 9XZ,52.449444789798000,1.568876637360570
Boto and bearded dragon,662005,NR14 8SW,52.561851000000000,1.272998807611550
horned viper and elapid,662073,NR14 7SP,52.568348888257900,1.351911374397030
mountain devil and Shearwater,662051,NR14 7RH,52.568286625532300,1.348393686891670
jew lizard and mountain devil,647878,NR35 2PH,52.480877541790300,1.483975889140250
Diving bird and moloch,648053,NR35 1NN,52.432503795675500,1.388834174416330
